Sigma, Epsilon, Success_Rate, Original_Accuracy, Adversarial_Accuracy, Accuracy_Reduction, Original_Loss, Adversarial_Loss, Loss_Increase
  0.5,     0.1,         0.05,               1.0,                 0.95,        0.050000012,   0.030197894,      0.02632698 , -0.0038709138
  0.5,     0.5,         0.15,               1.0,                 0.85,        0.14999998 ,   0.030197894,      0.0679094  , 0.0377115
  0.5,     1  ,         0.6 ,               1.0,                 0.4 ,        0.6        ,   0.030197894,      0.63883126 , 0.60863334
  0.5,     2  ,         0.75,               1.0,                 0.25,        0.75       ,   0.030197894,      2.737821   , 2.7076232
  1.0,     0.1,         0.0 ,               1.0,                 1.0 ,        0.0        ,   0.030197894,      0.030460164, 0.00026226975
  1.0,     0.5,         0.0 ,               1.0,                 1.0 ,        0.0        ,   0.030197894,      0.031684436, 0.0014865417
  1.0,     1  ,         0.1 ,               1.0,                 0.9 ,        0.100000024,   0.030197894,      0.07148022 , 0.041282326
  1.0,     2  ,         0.9 ,               1.0,                 0.1 ,        0.9        ,   0.030197894,      3.6233776  , 3.5931797
  1.5,     0.1,         0.0 ,               1.0,                 1.0 ,        0.0        ,   0.030197894,      0.030220995, 2.3100525e-05
  1.5,     0.5,         0.0 ,               1.0,                 1.0 ,        0.0        ,   0.030197894,      0.031997677, 0.0017997827
  1.5,     1  ,         0.05,               1.0,                 0.95,        0.050000012,   0.030197894,      0.51020426 , 0.48000637
  1.5,     2  ,         0.5 ,               1.0,                 0.5 ,        0.5        ,   0.030197894,      2.0201964  , 1.9899986
  2.0,     0.1,         0.0 ,               1.0,                 1.0 ,        0.0        ,   0.030197894,      0.030411493, 0.00021359883
  2.0,     0.5,         0.0 ,               1.0,                 1.0 ,        0.0        ,   0.030197894,      0.03213457 , 0.001936676
  2.0,     1  ,         0.15,               1.0,                 0.85,        0.14999998 ,   0.030197894,      0.05734534 , 0.027147444
  2.0,     2  ,         0.55,               1.0,                 0.45,        0.55       ,   0.030197894,      0.85762185 , 0.82742393
