Sigma, Epsilon, Success_Rate        , Original_Accuracy, Adversarial_Accuracy, Accuracy_Reduction, Original_Loss, Adversarial_Loss, Loss_Increase
  0.5,     0.1, 0.024390243902439025,               1.0,           0.9756098 ,         0.02439022,   0.030511338,      0.024186786, -0.006324552
  0.5,     0.5, 0.07317073170731707 ,               1.0,           0.9268293 ,         0.07317072,   0.030511338,      0.037567258, 0.0070559196
  0.5,     1  , 0.34146341463414637 ,               1.0,           0.6585366 ,         0.3414634 ,   0.030511338,      0.4480629  , 0.41755155
  0.5,     2  , 0.6341463414634146  ,               1.0,           0.36585367,         0.63414633,   0.030511338,      1.4714952  , 1.4409838
  1.0,     0.1, 0.024390243902439025,               1.0,           0.9756098 ,         0.02439022,   0.030511338,      0.030683488, 0.00017214939
  1.0,     0.5, 0.07317073170731707 ,               1.0,           0.9268293 ,         0.07317072,   0.030511338,      0.03849455 , 0.007983211
  1.0,     1  , 0.1951219512195122  ,               1.0,           0.80487806,         0.19512194,   0.030511338,      0.12353538 , 0.093024045
  1.0,     2  , 0.7560975609756098  ,               1.0,           0.24390244,         0.75609756,   0.030511338,      2.9753053  , 2.944794
  1.5,     0.1, 0.024390243902439025,               1.0,           0.9756098 ,         0.02439022,   0.030511338,      0.030853666, 0.0003423281
  1.5,     0.5, 0.0                 ,               1.0,           1.0       ,         0.0       ,   0.030511338,      0.032134235, 0.0016228966
  1.5,     1  , 0.12195121951219512 ,               1.0,           0.8780488 ,         0.12195122,   0.030511338,      0.103842966, 0.073331624
  1.5,     2  , 0.5365853658536586  ,               1.0,           0.46341464,         0.53658533,   0.030511338,      2.181111   , 2.1505997
  2.0,     0.1, 0.0                 ,               1.0,           1.0       ,         0.0       ,   0.030511338,      0.03071117 , 0.00019983202
  2.0,     0.5, 0.024390243902439025,               1.0,           0.9756098 ,         0.02439022,   0.030511338,      0.032385733, 0.0018743947
  2.0,     1  , 0.07317073170731707 ,               1.0,           0.9268293 ,         0.07317072,   0.030511338,      0.04992173 , 0.01941039
  2.0,     2  , 0.5609756097560976  ,               1.0,           0.4390244 ,         0.5609756 ,   0.030511338,      0.9100753  , 0.879564
